Config,Fold,Train_Acc,Val_Acc,Avg_Train_Acc,Avg_Val_Acc
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",1,0.33482142857142855,0.31,0.33482142857142855,0.31
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",2,0.39675174013921116,0.29914529914529914,0.36578658435531985,0.30457264957264957
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",3,0.3615023474178404,0.4180327868852459,0.36435850537616005,0.342392695343515
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",4,0.4066666666666667,0.32653061224489793,0.37493554569878673,0.33842717456886073
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",5,0.448512585812357,0.36036036036036034,0.38965095372150077,0.34281381172716063
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",1,0.42857142857142855,0.36,0.42857142857142855,0.36
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",2,0.3294663573085847,0.3076923076923077,0.3790188929400066,0.33384615384615385
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",3,0.431924882629108,0.45901639344262296,0.3966542228363738,0.37556956704497685
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",4,0.41555555555555557,0.3979591836734694,0.40137955601616926,0.38116697120209997
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",5,0.41189931350114417,0.3333333333333333,0.40348350751316425,0.37160024362834665
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",1,0.32142857142857145,0.28,0.32142857142857145,0.28
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",2,0.33410672853828305,0.3504273504273504,0.3277676499834272,0.3152136752136752
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",3,0.31690140845070425,0.3770491803278688,0.32414556947251955,0.3358255102517398
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",4,0.3466666666666667,0.2857142857142857,0.32977584377105634,0.32329770411737624
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",5,0.38672768878718533,0.3333333333333333,0.34116621277428216,0.32530482996056764
